Vendor,Entities,Suggested Account,Assign Account,Status,Confidence,Txns,Amount,Accounts Used,Source,Matched As
Peter Reschdan,DMCC,,,Unmapped,,,,,,
Peter's Health Products Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,30,121001.35,1,Zoho Bills (line items),Peter's Health Products Limited
Pharmaceutical Distribition Company,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,5,750.0,1,Zoho Bills (line items),Pharmaceutical Distribition Company
PHARMACORE WELLNESS TRADING L.L.C,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,57,73132.48,1,Zoho Bills (line items),PHARMACORE WELLNESS TRADING L.L.C | Pharmacore Wellness
Pharmatrade LLC,DMCC,,,Unmapped,,,,,,
Pinnacle,KUWA,Printing and Stationery,Printing and Stationery,Suggested,100%,4,1905.0,1,Zoho Bills (line items),Pinnacle
Pinnacle Packing Industries L.L.C,DMCC,,,Unmapped,,,,,,
Pioneer Stamps Trading LLC,VWHC,,,Unmapped,,,,,,
Pipedrive OU,DMCC,,,Unmapped,,,,,,
PKF - CHARTERED ACCOUNTANTS (DUBAI BR),DMCC,,,Unmapped,,,,,,
PKF Chartered Accountants,HOLDING,,,Unmapped,,,,,,
PLIX - SATIYA NUTRACEUTICALS PVT LTD,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,13,22722.56,1,Zoho Bills (line items),PLIX - SATIYA NUTRACEUTICALS PVT LTD
Pod Arabia Advertising and Publicity Company,KSA,,,Unmapped,,,,,,
Poddster Studio,DMCC,,,Unmapped,,,,,,
Pointblanc Media FZ LLE,DMCC,,,Unmapped,,,,,,
POLYCHROME ELECTRONICS TRADING LLC,"DMCC, KUWA",Printing and Stationery,Printing and Stationery,Suggested,100%,4,480.0,1,Zoho Bills (line items),POLYCHROME ELECTRONICS TRADING LLC
POPPY OWEN LLC,DMCC,,,Unmapped,,,,,,
Porter Express Document Delivery Co,KUWA,Mid Mile,Mid Mile,Needs review,72%,29,63495.79,3,Zoho Bills (line items),Porter Express Document Delivery Co
Porter Express W.L.L,KUWA,Last Mile,Last Mile,Needs review,69%,107,141814.63,3,Zoho Bills (line items),Porter Express W.L.L
PORTL,DMCC,,,Unmapped,,,,,,
PostEx for Information Technology,KSA,,,Unmapped,,,,,,
Pratik Beedkar India,DMCC,,,Unmapped,,,,,,
Precise Consultancy,DMCC,,,Unmapped,,,,,,
Prestige Leisure Resort Pvt. Ltd.- Unit- Angsana Oasis Spa and Resort,DMCC,,,Unmapped,,,,,,
Prestige Pulse Cargo Services LLC,DMCC,First mile,First mile,Needs review,72%,182,446450.81,3,Zoho Bills (line items),PRESTIGE PULSE CARGO SERVICES LLC
PRESTIGE PULSE CARGO SERVICES LLC,KUWA,First mile,First mile,Needs review,72%,182,446450.81,3,Zoho Bills (line items),PRESTIGE PULSE CARGO SERVICES LLC
Prime Home Care LLC,DMCC,,,Unmapped,,,,,,
Prime Medical Center,DMCC,,,Unmapped,,,,,,
Prime Phoenix Fire Fighting Installation LLC,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,1250.0,1,Zoho Bills (line items),Prime Phoenix Fire Fighting Installation LLC
Printava Advertising Requisites Trading LLC,DMCC,,,Unmapped,,,,,,
Proficiency Healthcare Diagnostics,DMCC,,,Unmapped,,,,,,
PROJECT AGORA LTD,DMCC,,,Unmapped,,,,,,
Provsolution FZC,DMCC,,,Unmapped,,,,,,
Prozes Sport Equipment (MegaStar),DMCC,,,Unmapped,,,,,,
Prozes Sport Equipment LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,465,762597.04,2,Zoho Bills (line items),Prozes Sport Equipment LLC
PUCOV TECHNOLOGIES PRIVATE LIMITED,PVT,,,Unmapped,,,,,,
PUCOV Technologies Pvt Ltd.,DMCC,,,Unmapped,,,,,,
purpose testing,KUWA,,,Unmapped,,,,,,
Pyramids Health Services LLC-SPC,DMCC,,,Unmapped,,,,,,
Q-Tech General Trading LLC,KUWA,,,Unmapped,,,,,,
QAM HEALTH CARE,DMCC,,,Unmapped,,,,,,
Qidz LLC,DMCC,,,Unmapped,,,,,,
QLABS CLINICAL LABORATORY CO LLC,DMCC,,,Unmapped,,,,,,
QuickShip,DMCC,,,Unmapped,,,,,,
Quickship Technologies,KUWA,Mid Mile,Mid Mile,Suggested,100%,12,81030.0,1,Zoho Bills (line items),Quickship Technologies
Quokka Labs LLP,DMCC,,,Unmapped,,,,,,
Rabiko Lifestyle Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,19,31153.3,1,Zoho Bills (line items),Rabiko Lifestyle Private Limited
Rachieta Luthra,DMCC,,,Unmapped,,,,,,
Rahaf osama alolwan,DMCC,,,Unmapped,,,,,,
RASAYANAM NUTRIPHARM PRIVATE LIMITED,KUWA,Inventory Asset,Inventory Asset,Suggested,98%,75,32310.64,3,Zoho Bills (line items),RASAYANAM NUTRIPHARM PRIVATE LIMITED | RASAYANAM NUTRIPHARM PVT LTD
Rasha Pharmacy,DMCC,,,Unmapped,,,,,,
Rawa AI Limited,KUWA,,,Unmapped,,,,,,
Rayan Abi Hasan,DMCC,,,Unmapped,,,,,,
RAYNE CONSULTING FZE,DMCC,,,Unmapped,,,,,,
RAYYAN STAR STATIONERY,DMCC,,,Unmapped,,,,,,
Razan Abdullah Technology Company,KSA,,,Unmapped,,,,,,
REACH LLC FZ,DMCC,,,Unmapped,,,,,,
Real Mums Exhibition Organizing,DMCC,,,Unmapped,,,,,,
Real Mums LLC,DMCC,,,Unmapped,,,,,,
Rebecca Kassab,DMCC,,,Unmapped,,,,,,
Red Rock Real Estate LLC,KUWA,Consultant Expense,Consultant Expense,Needs review,71%,3,28771.43,3,Zoho Bills (line items),Red Rock Real Estate LLC
Redcliffe Hygiene Private Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,95%,668,275499.58,2,Zoho Bills (line items),Redcliffe Hygiene Private Ltd | Redcliffe Hygiene Pvt Ltd
Redcliffe Hygiene Pvt. Ltd.,DMCC,Inventory Asset,Inventory Asset,Suggested,95%,668,275499.58,2,Zoho Bills (line items),Redcliffe Hygiene Private Ltd | Redcliffe Hygiene Pvt Ltd
Redroomtechnology Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,29,8537.36,1,Zoho Bills (line items),Redroomtechnology Private Limited
Reem Riyadh AlMalik,DMCC,,,Unmapped,,,,,,
REEM ZAKARI YAHYA ABDULLAH ALRIYAMI,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,4,3376.97,1,Zoho Bills (line items),REEM ZAKARI YAHYA ABDULLAH ALRIYAMI
Regulatory Services,"DMCC, KUWA",Professional Fees,Professional Fees,Needs review,50%,36,74243.6,4,Zoho Bills (line items),Regulatory Services
Reham Nasuh,DMCC,,,Unmapped,,,,,,
Reliance Retail Limited,"DMCC, KUWA",,,Unmapped,,,,,,
RELIANCE RETAIL LIMITED,PVT,,,Unmapped,,,,,,
RELIEF HEALTHCARE GROU,DMCC,,,Unmapped,,,,,,
Rema Taha,DMCC,,,Unmapped,,,,,,
Remote CMO - Ankit,"DMCC, KUWA",Prepaid Expenses,Prepaid Expenses,Needs review,70%,15,176358.75,4,Zoho Bills (line items),Remote CMO - Ankit
RESOLUTE MARKET INTELLIGENCE LLC-F,DMCC,,,Unmapped,,,,,,
Restore Trading L.L.C,DMCC,,,Unmapped,,,,,,
Retail Fiesta Pvt Ltd,DMCC,,,Unmapped,,,,,,
RETAJ,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,21,140844.46,1,Zoho Bills (line items),RETAJ
Reverse Parcel Services L.L.C,KUWA,Last Mile,Last Mile,Suggested,96%,665,131691.46,3,Zoho Bills (line items),Reverse Parcel Services L.L.C
Revitalife Compounding Pharmacy - FZCO,VWHC,,,Unmapped,,,,,,
Revitalife Compunding Pharmacy FZ LLC,DMCC,,,Unmapped,,,,,,
Reward,DMCC,,,Unmapped,,,,,,
Reyansh Computer & Security Systems LLC,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,3160.5,1,Zoho Bills (line items),Reyansh Computer & Security Systems LLC
Riaan Wellness Private Limited,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,4,459.08,1,Zoho Bills (line items),Riaan Wellness Private Limited
Rida Shahid,DMCC,,,Unmapped,,,,,,
Right View Medical Equipment Trading LLC,DMCC,,,Unmapped,,,,,,
RIMA  ZAHRAN,DMCC,,,Unmapped,,,,,,
RIMA ZAHRAN,DMCC,,,Unmapped,,,,,,
Rita Alhajeh,DMCC,,,Unmapped,,,,,,
Rite Trading L.L.C,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,102,163785.08,1,Zoho Bills (line items),Rite Trading L.L.C
RITE TRADING LLC,DMCC,Inventory Asset,Inventory Asset,Suggested,100%,102,163785.08,1,Zoho Bills (line items),Rite Trading L.L.C
Riyadh Bank/بنك الرياض,KSA,,,Unmapped,,,,,,
ROCWINS  INC.,PVT,,,Unmapped,,,,,,
Royal Chef,KUWA,,,Unmapped,,,,,,
Royal Premiere Healthcare,DMCC,,,Unmapped,,,,,,
Roz Al-Mustaghebel for Logistics,SAHA,Mid Mile,Mid Mile,Suggested,100%,3,33616.4,1,Detailed GL,Roz Al-Mustaghebel for Logistics
ROZ SHIPPING CORPORA,"KSA, KUWA",Mid Mile,Mid Mile,Suggested,87%,8,10166.98,2,Zoho Bills (line items),ROZ SHIPPING CORPORA
RSA E-commerce and Digital Logistics DWC-LLC,KUWA,Last Mile,Last Mile,Suggested,82%,6,2545.69,2,Zoho Bills (line items),RSA E-commerce and Digital Logistics DWC-LLC
Ruaa Medical Services Co,KSA,,,Unmapped,,,,,,
RUhammA,DMCC,,,Unmapped,,,,,,
S A A S ADVISORY INVESTMENTS AND TRADING - SOLE PROPRIETORSHIP L.L.C.,KUWA,,,Unmapped,,,,,,
Saanvari Sheth,KUWA,Influencers-Marketing,Influencers-Marketing,Needs review,75%,2,600.0,2,Zoho Bills (line items),Saanvari Sheth
Sahseh Digital Marketing Co,DMCC,,,Unmapped,,,,,,
Sales Grows FZE,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,1,5509.0,1,Zoho Bills (line items),Sales Grows FZE
Salwaty Home Healthcare LLC,DMCC,,,Unmapped,,,,,,
SAMA AI ADWIA TRADING EST./مؤسسة سماء الادوية للتجارة,KSA,,,Unmapped,,,,,,
Sama Digital,DMCC,,,Unmapped,,,,,,
SAMA Digital/سما الرقمية,KSA,,,Unmapped,,,,,,
SAMA PHARMA,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,94%,201,85689.25,2,Zoho Bills (line items),SAMA PHARMA
Samantha kanonji Marketing Services,DMCC,,,Unmapped,,,,,,
SAMEH BASEM A HASAN,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1469.0,1,Zoho Bills (line items),SAMEH BASEM A HASAN
Sammy James,DMCC,,,Unmapped,,,,,,
SANIMED INTERNATIONAL LAB AND MANAGEMENT L.L.C.,DMCC,,,Unmapped,,,,,,
Sanober Rafiq,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,500.0,1,Zoho Bills (line items),Sanober Rafiq
SAPNA DHANWANI BLOGGING SERVICES,DMCC,,,Unmapped,,,,,,
SARA AHMED FAIK ABDELBAKI ELSAEDI,KUWA,Influencers-Marketing,Influencers-Marketing,Needs review,72%,3,2100.0,2,Zoho Bills (line items),SARA AHMED FAIK ABDELBAKI ELSAEDI
Sara Oraee,DMCC,,,Unmapped,,,,,,
Sarah Shareef,DMCC,,,Unmapped,,,,,,
Sari Mohmed Kazma,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,1,500.0,1,Zoho Bills (line items),Sari Mohmed Kazma
Saudi Postal Services Co,DMCC,,,Unmapped,,,,,,
SAWSAN SAAD HAMED SOLIMAN,DMCC,,,Unmapped,,,,,,
Scale business Services private Limited,DMCC,Cost of Goods Sold,Cost of Goods Sold,Needs review,50%,351,132387.16,3,Zoho Bills (line items),Scale Business Services Private Limited
Scale Business Services Private Limited,KUWA,Cost of Goods Sold,Cost of Goods Sold,Needs review,50%,351,132387.16,3,Zoho Bills (line items),Scale Business Services Private Limited
"Scale Global Ventures Pte. Ltd.,",KUWA,Inventory Asset,Inventory Asset,Needs review,63%,43,98224.1,2,Zoho Bills (line items),"Scale Global Ventures Pte. Ltd.,"
SciTech Specialities Pvt. Ltd.,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,6,163436.92,1,Zoho Bills (line items),SciTech Specialities Pvt Ltd | SciTech Specialities Pvt. Ltd.
SCOSH (Yamam Abdulwhab Abuzinadah Social Company),KSA,,,Unmapped,,,,,,
Scratch Photography Services,DMCC,,,Unmapped,,,,,,
Scrut Automation Inc.,HOLDING,,,Unmapped,,,,,,
SEARCHADS,DMCC,,,Unmapped,,,,,,
Seha Pharmaceuticals Trading L.L.C,KUWA,Inventory Asset,Inventory Asset,Needs review,39%,131,71006.81,6,Zoho Bills (line items),Seha Pharmaceuticals Trading L.L.C
Seha Pharmaceuticals Trading L.L.C.,DMCC,Inventory Asset,Inventory Asset,Needs review,39%,131,71006.81,6,Zoho Bills (line items),Seha Pharmaceuticals Trading L.L.C
Serve Up Health FZE,DMCC,,,Unmapped,,,,,,
Setayesh Alaghband,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,200.0,1,Zoho Bills (line items),Setayesh Alaghband
Setu Nutrition Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,20,92336.19,1,Zoho Bills (line items),Setu Nutrition Pvt Ltd
Seven Turns Pvt Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,99%,165,302629.5,2,Zoho Bills (line items),Seven Turns Pvt Ltd
Seven Turns Pvt.Ltd,DMCC,Inventory Asset,Inventory Asset,Suggested,99%,165,302629.5,2,Zoho Bills (line items),Seven Turns Pvt Ltd
Shadia Ibrahim Tarabishi,DMCC,,,Unmapped,,,,,,
Shadow Production Foundation for Audiovisua/مؤسسة شادو للإنتاج السمعي البصريl Production/,KSA,,,Unmapped,,,,,,
SHAHZADI HALA OWAIS,DMCC,,,Unmapped,,,,,,
Shaikha Naji Saoud AlTukhaim,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1197.66,1,Zoho Bills (line items),Shaikha Naji Saoud AlTukhaim
Shams Al Muneer IT Solutions LLC,KUWA,,,Unmapped,,,,,,
SHARJAH DRUG STORE L.L.C.,KUWA,Inventory Asset,Inventory Asset,Suggested,95%,50,47298.6,2,Zoho Bills (line items),SHARJAH DRUG STORE L.L.C.
Shefaa Al Madeena Pharmacy,DMCC,,,Unmapped,,,,,,
Sherbano Zaidi,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,450.0,1,Zoho Bills (line items),Sherbano Zaidi
SHIBAAM DRUG STORE LLC,KUWA,Professional Fees,Professional Fees,Suggested,100%,1,3500.0,1,Zoho Bills (line items),SHIBAAM DRUG STORE LLC
Shifa Home care,DMCC,Prepaid Expenses,Prepaid Expenses,Suggested,100%,2,7203.81,1,Zoho Bills (line items),Shifa Home Health Care LLC
Shifa Home Health Care LLC,KUWA,Prepaid Expenses,Prepaid Expenses,Suggested,100%,2,7203.81,1,Zoho Bills (line items),Shifa Home Health Care LLC
Shipa Delivery Services L.L.C,"DMCC, KUWA",Last Mile,Last Mile,Suggested,96%,209,153193.06,4,Zoho Bills (line items),Shipa Delivery Services L.L.C
Shipa Delivery Services L.L.C - KSA,"DMCC, KUWA",Last Mile,Last Mile,Suggested,94%,8,28420.02,2,Zoho Bills (line items),Shipa Delivery Services L.L.C - KSA
Shopify International Limited,"DMCC, KUWA",Subscription Charges,Subscription Charges,Suggested,100%,87,206869.63,1,Zoho Bills (line items),Shopify International Limited
Shorouk Sweileh Al-Jahni Laboratories Company/شركة شروق صويلح الجهني للمختبرات,KSA,,,Unmapped,,,,,,
Shutterstock,DMCC,,,Unmapped,,,,,,
SIDDHAYU GLOBAL,KUWA,Cost of Goods Sold,Cost of Goods Sold,Needs review,0%,1,0.0,1,Zoho Bills (line items),SIDDHAYU GLOBAL
Sidra,DMCC,,,Unmapped,,,,,,
SIDRA TUL MUNTAHA TALAL,KUWA,Inventory Asset,Inventory Asset,Suggested,93%,7,9763.5,2,Zoho Bills (line items),SIDRA TUL MUNTAHA TALAL
SIMA MISHRA,DMCC,,,Unmapped,,,,,,
SIMPAL GENERAL TRADING,DMCC,,,Unmapped,,,,,,
Siren Mansour - Influencer,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),Siren Mansour - Influencer
Skin Culture,DMCC,,,Unmapped,,,,,,
Skylap Laptop Service Centre,PVT,,,Unmapped,,,,,,
Slack,DMCC,,,Unmapped,,,,,,
SLICK ORGANICS PRIVATE LIMITED,KUWA,,,Unmapped,,,,,,
SLICK ORGANICS PRIVATE LIMITED (Arata),DMCC,,,Unmapped,,,,,,
Slyds Services Pvt. Ltd.,DMCC,,,Unmapped,,,,,,
Smart Basket Pharmaceuticals/سلة الأدوية الذكية,KSA,,,Unmapped,,,,,,
Smart Care Company,DMCC,,,Unmapped,,,,,,
Smart Care Company for Home Health Care,KSA,,,Unmapped,,,,,,
Smart Stars Information Technology / سمارت ستارز لتقنية المعلومات,KSA,,,Unmapped,,,,,,
SMSA Express Transportation LLC,"DMCC, KUWA",Last Mile,Last Mile,Suggested,93%,457,499794.23,5,Zoho Bills (line items),SMSA Express Transportation LLC
SNB Accounting Management & Tax Consultancy LLC,"HOLDING, KUWA",Professional Fees,Professional Fees,Suggested,100%,2,8800.0,1,Zoho Bills (line items),SNB Accounting Management & Tax Consultancy LLC
SNOOPY PARTIES & ENTERTAINMENT SERVICES L.L.C,DMCC,,,Unmapped,,,,,,
SNS EXCELLANCE TECHNICAL SRVICES LLC.,DMCC,,,Unmapped,,,,,,
SNS excellence Technical Services L.L.C,KUWA,,,Unmapped,,,,,,
SNS Excellence Technical Services LLC,VWHC,,,Unmapped,,,,,,
Sonas Events Ltd,DMCC,,,Unmapped,,,,,,
Soukare,DMCC,,,Unmapped,,,,,,
Soul Sessions,DMCC,,,Unmapped,,,,,,
Sovereign Corporate Services,HOLDING,,,Unmapped,,,,,,
Spec Brite General Trading LLC,DMCC,,,Unmapped,,,,,,
Spike Technology inc,DMCC,,,Unmapped,,,,,,
Spinneys Dubai LLC,KUWA,Marketing and sales promotion expenses,Marketing and sales promotion expenses,Suggested,100%,32,303322.58,2,Zoho Bills (line items),Spinneys Dubai LLC
Sporter Platforms General Trading L.L.C,DMCC,,,Unmapped,,,,,,
Sprout Digital Agency,DMCC,,,Unmapped,,,,,,
SPV Laboratories Private Limited,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,75,136164.7,1,Zoho Bills (line items),SPV Laboratories Private Limited
Standard Chartered Al Awsat,KSA,,,Unmapped,,,,,,
STEPHANIE HADDAD,"DMCC, KUWA",Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,1500.0,1,Zoho Bills (line items),STEPHANIE HADDAD
STLLR NETWORK,DMCC,Prepaid Expenses,Prepaid Expenses,Suggested,100%,1,58657.17,1,Zoho Bills (line items),Stllr Network
Stllr Network,KUWA,Prepaid Expenses,Prepaid Expenses,Suggested,100%,1,58657.17,1,Zoho Bills (line items),Stllr Network
Stride Wellness Community DMCC,DMCC,,,Unmapped,,,,,,
StyleKoreon,KUWA,Inventory Asset,Inventory Asset,Suggested,90%,62,218460.98,2,Zoho Bills (line items),StyleKoreon
Stylework Innovation Hub Pvt. Ltd,DMCC,,,Unmapped,,,,,,
Success Pact Consulting Private Limited,DMCC,,,Unmapped,,,,,,
Sugarbear,DMCC,,,Unmapped,,,,,,
Sultuan Group Health Care,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,6,1573.88,1,Zoho Bills (line items),Sultuan Group Health Care
Sundex Trading LLC,KUWA,Prepaid Rent,Prepaid Rent,Suggested,83%,4,377000.0,4,Zoho Bills (line items),Sundex Trading LLC
Sundyota Numandis Probioceuticals Pvt Ltd,DMCC,,,Unmapped,,,,,,
supercare pharmacy,DMCC,Inventory Asset,Inventory Asset,Suggested,88%,154,152219.68,4,Zoho Bills (line items),Supercare Pharmacy
Supercare Pharmacy,KUWA,Inventory Asset,Inventory Asset,Suggested,88%,154,152219.68,4,Zoho Bills (line items),Supercare Pharmacy
Supermetrics,DMCC,,,Unmapped,,,,,,
Support Legal Limited,DMCC,,,Unmapped,,,,,,
SURAJ BHAN,DMCC,,,Unmapped,,,,,,
Swavy App LTD UK,DMCC,,,Unmapped,,,,,,
Swavy Marketing FZ- LLC,DMCC,,,Unmapped,,,,,,
SWFTBOX,DMCC,,,Unmapped,,,,,,
Swissotel Al Murooj,DMCC,,,Unmapped,,,,,,
SYED IMRAN,KUWA,Professional Fees,Professional Fees,Suggested,100%,5,19441.85,1,Zoho Bills (line items),SYED IMRAN
Synergy Concept General Trading LLC,DMCC,,,Unmapped,,,,,,
Syoss Home Healthcare,DMCC,,,Unmapped,,,,,,
T Maini and Associates,KUWA,Professional Fees,Professional Fees,Suggested,81%,4,1175.0,2,Zoho Bills (line items),T Maini and Associates
T R C PAMCO MIDDLE EAST CONSULTANCY L.L.C,"HOLDING, KUWA",Professional Fees,Professional Fees,Needs review,72%,5,13500.0,2,Zoho Bills (line items),T R C PAMCO MIDDLE EAST CONSULTANCY L.L.C
Tabby Financing Company Closed Joint Stock Company,KSA,,,Unmapped,,,,,,
Tabby L.L.C,"DMCC, KUWA",Payment Gateway Charges,Payment Gateway Charges,Needs review,75%,87,68097.55,2,Zoho Bills (line items),Tabby L.L.C
Tadaway Medical WLL,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,4,24169.7,1,Zoho Bills (line items),Tadaway Medical WLL
Tafaseel Business Service,DMCC,,,Unmapped,,,,,,
Taib Saudi Company Ltd.,DMCC,,,Unmapped,,,,,,
Taib Saudi Company Ltd./شركة طيب السعودية المحدودة,KSA,,,Unmapped,,,,,,
Taibah Care/طيبة كير,KSA,,,Unmapped,,,,,,
TAIF & ANWAR DELIVERY SERVICES,KUWA,Mid Mile,Mid Mile,Suggested,99%,69,230330.0,3,Zoho Bills (line items),TAIF&ANWAR DELIVERY SERVICES
Taj Addawa Store,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,76357.48,1,Zoho Bills (line items),Taj Addawa Store
TAJ AL MELOUK,DMCC,,,Unmapped,,,,,,
Taj Alwajh Hotel,DMCC,,,Unmapped,,,,,,
TAKAFUL EMARAT,DMCC,,,Unmapped,,,,,,
Takamul Holding تكامل القابضة,SAHA,,,Unmapped,,,,,,
Talabat - Supplier,DMCC,,,Unmapped,,,,,,
Tamara FZE,"DMCC, KUWA",Accrued Expenses,Accrued Expenses,Suggested,98%,69,20769.14,2,Zoho Bills (line items),Tamara FZE
TAMMAM AL ILAJ MEDICAL COMPANY,KSA,,,Unmapped,,,,,,
Tanmiyat Medical Company - شركة تنميات الطبية,SAHA,COS - Supplements,COS - Supplements,Suggested,100%,1,78000.0,1,Detailed GL,Tanmiyat Medical Company - شركة تنميات الطبية
Tap Financial Company,KSA,,,Unmapped,,,,,,
Tap Payment Solutions LLC,"DMCC, KUWA",,,Unmapped,,,,,,
Tara Jowhari pour,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,1,500.0,1,Zoho Bills (line items),Tara Jowhari pour
Task Outsourcing,KSA,,,Unmapped,,,,,,
TASSHEEL BUSINESS CENTER,DMCC,,,Unmapped,,,,,,
TATA 1MG Healthcare Solutions Private Limited,DMCC,,,Unmapped,,,,,,
Tata Express Freight LLC,DMCC,,,Unmapped,,,,,,
Tazmin Mohamed,KUWA,Influencers-Marketing,Influencers-Marketing,Suggested,100%,6,9000.0,1,Zoho Bills (line items),Tazmin Mohamed
TDG PARTIES AND ENTERTAINMENT,DMCC,,,Unmapped,,,,,,
Team Angel Wolf,DMCC,,,Unmapped,,,,,,
testing,KUWA,Inventory Asset,Inventory Asset,Suggested,92%,2,500.0,2,Zoho Bills (line items),testing
testingonly,KUWA,,,Unmapped,,,,,,
TGHCO Health Support Services Pvt. Ltd.,"DMCC, KUWA",Inventory Asset,Inventory Asset,Suggested,100%,32,55128.65,1,Zoho Bills (line items),TGHCO Health Support Services Pvt. Ltd.
Thaif Pickup and Dropoff Services,DMCC,,,Unmapped,,,,,,
THARAWAT FORUM SEMINARS L L,DMCC,,,Unmapped,,,,,,
THE 44 SPORTS BAR,DMCC,,,Unmapped,,,,,,
THE BRIDGE WELLNESS HUB,KUWA,Marketing Expense,Marketing Expense,Suggested,100%,1,38.1,1,Zoho Bills (line items),THE BRIDGE WELLNESS HUB
The Comms Club LLC,DMCC,,,Unmapped,,,,,,
THE FIRST COLLECTION HOTEL BUSINESS BAY L.L.C,VWHC,,,Unmapped,,,,,,
THE FIRST COLLECTION HOTEL L.L.C,VWHC,,,Unmapped,,,,,,
THE FIRST COLLECTION HOTEL WATERFRONT L.L.C,VWHC,,,Unmapped,,,,,,
THE FIRST COLLECTION MARINA HOTEL L.L.C,VWHC,,,Unmapped,,,,,,
The Fresh Market FZCO,KUWA,,,Unmapped,,,,,,
The Genius brand,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,7,11928.79,1,Zoho Bills (line items),The Genius brand
The Genuis Brand,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,6,10154.5,1,Zoho Bills (line items),The Genuis Brand
The GYM,DMCC,,,Unmapped,,,,,,
The Healthy Home Technologies FZCO,DMCC,,,Unmapped,,,,,,
The Longevity Clinic,KSA,,,Unmapped,,,,,,
The Nutriologist,DMCC,,,Unmapped,,,,,,
The Nutrition Collective Limited,DMCC,,,Unmapped,,,,,,
The Other Agency Social Media Marketing,DMCC,,,Unmapped,,,,,,
The Oxford Health Company Ltd,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,5,104815.39,1,Zoho Bills (line items),The Oxford Health Company Ltd
the PILATES PARTY,DMCC,,,Unmapped,,,,,,
The Project DXB,DMCC,,,Unmapped,,,,,,
The Roost Rotisserie Restaurant LLC,DMCC,Inventory Asset,Inventory Asset,Suggested,82%,74,26334.0,4,Zoho Bills (line items),THE ROOST ROTISSERIE RESTAURANT LLC
THE ROOST ROTISSERIE RESTAURANT LLC,KUWA,Inventory Asset,Inventory Asset,Suggested,82%,74,26334.0,4,Zoho Bills (line items),THE ROOST ROTISSERIE RESTAURANT LLC
THE SECRET SKIN.COM,DMCC,,,Unmapped,,,,,,
THE TRAINERS CLUB,DMCC,,,Unmapped,,,,,,
Thiriving Lifestyles - EIK,DMCC,,,Unmapped,,,,,,
Tia Maria Mascarenhas,DMCC,,,Unmapped,,,,,,
TikTok,DMCC,,,Unmapped,,,,,,
Timeless Woman LZE LLC,DMCC,,,Unmapped,,,,,,
Times Enterprises,"DMCC, KUWA",First mile,First mile,Suggested,100%,2,63055.54,1,Zoho Bills (line items),Times Enterprises
Times Square,KUWA,Inventory Asset,Inventory Asset,Suggested,100%,1,261.45,1,Zoho Bills (line items),Times Square
Tina Nutrition & Wellness Consultancy DMCC,DMCC,,,Unmapped,,,,,,
TishTash Marketing & Public Relations,DMCC,,,Unmapped,,,,,,
To Be With Mom,DMCC,,,Unmapped,,,,,,
Tool Touch Technical Services L.L.C,KUWA,Office Expenses,Office Expenses,Suggested,100%,1,1400.0,1,Zoho Bills (line items),Tool Touch Technical Services L.L.C
Trans Expert Translation Services,DMCC,,,Unmapped,,,,,,
TRANSCORP INTL LOGISTICS LLC,KUWA,First mile,First mile,Suggested,95%,60,97132.73,3,Zoho Bills (line items),TRANSCORP INTL LOGISTICS LLC
